dialogue_id,utterance,domain,active_intent,slots,requested_slots
SNG02022.json,I am looking for the Addenbrookes Hospital with hepatology department,hospital,find_hospital,{'hospital-department': ['hepatology']},[]
PMUL0396.json,I'm planning a trip to cambridge and need a place to dine. Can you find something that serves jamaican food in the centre?,restaurant,find_restaurant,"{'restaurant-area': ['centre'], 'restaurant-food': ['jamaican']}",[]
PMUL4452.json,I am traveling to Cambridge and looking forward to try local restaurants.,restaurant,find_restaurant,{},[]
SNG01863.json,I want to go to castle galleries.,restaurant,NONE,{},[]
PMUL3490.json,I am looking for information. Can you help me with a place to stay while I'm in town?,restaurant,NONE,{},[]
SSNG0200.json,"I'm looking for cafe uno, can you help me find where it is?",restaurant,find_restaurant,{'restaurant-name': ['cafe uno']},[]
SNG0028.json,Thank you so much! That is all I need for now.,restaurant,NONE,{},[]
PMUL4102.json,I'll be leaving Cambridge and traveling to Birmingham New Street.,restaurant,NONE,{},[]
SNG01604.json,I'm looking for a the Parkside police station.,restaurant,NONE,{},[]
PMUL0388.json,Hi! I am looking for a turkish food restaurant around the centre.,restaurant,find_restaurant,"{'restaurant-area': ['centre'], 'restaurant-food': ['turkish']}",[]
SNG01971.json,I am looking for a particular restaurant. Its name is called prezzo,restaurant,find_restaurant,{'restaurant-name': ['prezzo']},[]
PMUL0087.json,Where can I find the Express by Holiday Inn in Cambridge?,restaurant,NONE,{},[]
MUL2198.json,I am leaving Leicester and going to Cambridge.,restaurant,NONE,{},[]
SNG0191.json,I am looking for a hospital in town.,restaurant,find_restaurant,"{'restaurant-area': ['dontcare'], 'restaurant-food': ['dontcare'], 'restaurant-name': ['dontcare'], 'restaurant-pricerange': ['cheap']}",[]
SNG0421.json,"One ticket just for myself, though I need to arrive by 09:45.",restaurant,NONE,{},[]
PMUL3025.json,I'm planning a trip to Cambridge and will need a place to stay. I prefer a guesthouse with 3 stars and should include free wifi.,restaurant,NONE,{},[]
PMUL1705.json,I need a place to stay in the west.,restaurant,NONE,{},[]
PMUL4020.json,I am looking for information in Cambridge,restaurant,NONE,{},[]
PMUL1112.json,"We want info about a particular attraction, Christ's college.",attraction,find_attraction,"{'attraction-name': ['christ college', ""christ's college""]}",[]
PMUL4350.json,I am going to London Liverpool Street and need to leave Cambridge after 14:45.,restaurant,NONE,{},[]
PMUL1474.json,I am leaving London Kings Cross and I need to arrive by 14:15.,restaurant,NONE,{},[]
MUL1653.json,I'm looking for a cheap restaurant in the centre.,restaurant,find_restaurant,"{'restaurant-area': ['centre'], 'restaurant-pricerange': ['cheap']}",[]
SNG01336.json,I want to arrive there by 07:00,restaurant,NONE,{},[]
PMUL0059.json,I'm looking to find out some information about a restaurant called Travellers Rest.,restaurant,find_restaurant,{'restaurant-name': ['travellers rest']},[]
SNG0552.json,Are there any expensive British restaurants in town?,restaurant,find_restaurant,{'restaurant-pricerange': ['expensive']},[]
PMUL2875.json,"Hi! I'd like a hotel with a 4 star rating and free parking, please.",restaurant,NONE,{},[]
PMUL4525.json,I need to leave on Thursday.,restaurant,NONE,{},[]
SNG01448.json,Am looking for the Parkside Police Station,restaurant,NONE,{},[]
MUL2474.json,"Yes, I'd like to know what there is to see in the center of town.",attraction,find_attraction,{'attraction-area': ['centre']},[]
MUL1582.json,Hi! My friends told me about a restaurant called the nirala. What can you tell me about it?,restaurant,find_restaurant,{'restaurant-name': ['nirala']},[]
MUL0053.json,I need a place to stay in Cambridge that is rated 4 stars and has free wifi.,restaurant,NONE,{},[]
PMUL4328.json,I am looking for information in Cambridge,restaurant,NONE,{},[]
